Nacional;Comunidades y Ciudades Autónomas;Sexo;Periodo;Total
Total;01 Andalucía;Total;2021;8.472.407
Total;02 Aragón;Total;2021;1.326.261
Total;03 Asturias, Principado de;Total;2021;1.011.792
Total;04 Balears, Illes;Total;2021;1.173.008
Total;05 Canarias;Total;2021;2.172.944
Total;06 Cantabria;Total;2021;584.507
Total;07 Castilla y León;Total;2021;2.383.139
Total;08 Castilla - La Mancha;Total;2021;2.049.562
Total;09 Cataluña;Total;2021;7.763.362
Total;10 Comunitat Valenciana;Total;2021;5.058.138
Total;11 Extremadura;Total;2021;1.059.501
Total;12 Galicia;Total;2021;2.695.645
Total;13 Madrid, Comunidad de;Total;2021;6.751.251
Total;14 Murcia, Región de;Total;2021;1.518.486
Total;15 Navarra, Comunidad Foral de;Total;2021;661.537
Total;16 País Vasco;Total;2021;2.213.993
Total;17 Rioja, La;Total;2021;319.796
Total;18 Ceuta;Total;2021;83.517
Total;19 Melilla;Total;2021;86.261
